,1.SG,2.SG,1.PL,this1,this2,that1,that2,that3,that4,who?,what?,not,all,many,one,two,big,long,small,woman,man,person,fish,bird,dog,louse,tree,seed,leaf,root,bark,skin,flesh,blood,bone,fat,egg,horn,tail,feather,hair,head,ear,eye,nose,mouth,tooth,tongue,fingernail,foot,knee,hand,belly,neck,breasts,heart,liver,to drink,to eat,to bite,to see,to hear,to know,to sleep,to die,to kill,to swim,to fly,to walk,to come,to lie down,to sit,to stand,to give1,to give2,to say,sun,moon,star,water,rain,stone,sand,soil,cloud,smoke,fire,ash,to burn,path,mountain,red1,red2,blue1,blue2,yellow1,yellow2,white1,white2,black1,black2,night,hot,cold,full,new,good,round,to dry,name
Kumamoto,wataʃi̥,aːta,wataʃidoɴ,koru,koɴ,soru,soɴ,aru,aɴ,,,ɴ,mina,oːka,çi̥totsu,fu̥taˑtsu,fu̥toka,naŋka,komaŋka,onaɡo,otoko,çi̥to,iwo,tori,iɴ,ʃirameˑ,ki,tane,ha,ne,kawa,hada,niku / miˑ,tʃiː,hone,abura,tamaɡo,,ʃiribo,hane,kaŋɡe,atama,mimi,me,hana,kutʃi̥,ha,ʃi̥ta / bero,tsume,aʃi,çiza,te,hara,kubi,tʃiː,kokoro,,nomu,kuː,kamu,miru,kiˑku̥,wakaru / ʃiru,neburu,ʃinuru,korosu,ojeɡu / ojoɡu / abiru,tobu,ajubu / aruku / sareku,kuru / kuʔ,nuru,suwaru,tatsu,jaru,kururu,juː,çi / oçisaɴ,tsuki / otsuki̥saɴ,hoʃi,mizu̥,ame,iˑʃi̥,suna,tsutʃi,kumo,keburi / kemuri,çiː,çaː,,mitʃi̥,jama,aka,akka,ao,aoka,kina,kinnaka,ʃiro,ʃiroka,kuro,kuroka,josari / baɴ,nukka,saŋka,ippjaː,ataraʃi̥ka,jokaˑ,maruka,kawaku̥ / çiru / çiaɡaru,naˑ
Kagoshima,atai,omaɴsaˑ / anta,ataitaʔ,koi,koɴ,soi,soɴ,ai,aɴ,,,ɴ,minna,ue,çi̥toʔ,futaʔ,fute,naɡe,kome / tʃiŋke,onaɡo,otoko,çi̥to,iwo,toi,iɴ,ʃi̥tame,ki,tane,ha,ne,kaa / kawa,hada,niʔ,tʃiˑ,hone,abura,tamaɡo,,ʃiːbo,hane / haneɡe,kannoke / kaɴ,zu / binta,miɴ,me,hana,kuʔ,ha,ʃi̥ta / bero,tsume,aʃ,çidza,te,hara,kuʔ,tʃi̥tʃi,kokoro,,noɴ,ku,kaɴ,miʔ,kiʔ,ʃiʔ,nemuʔ,keʃiɴ,koros / tsumuʔ,ojoʔ / oeʔ,toʔ,ajuɴ,kuʔ,neʔ,suwaʔ,taʔ,jaʔ,kuruʔ,ju,oçisaː,otsussaa / tsuʔ,hoʃ,miʔ,ame,iʃ,dzuna,tsuʔ,kumo,kemui / kebui,çi,heˑ,,miʔ,jama,aka,ake,ao,aoka,kinairo,kiːka,ʃiro,ʃire,kuro,kure,joi,atʃi,sami / çijuʔ,ippe,nike,joka,mammari / mari,koraʔ / çiaɡaʔ / kawaʔ / kaaʔ,namae
Kamikoshiki,oi / waʃi,omaisama,oidomo / waʃidomo,koji,koɴ,soi,soɴ,ai,aɴ,,,,,uːka,futoːtsu,futaːtsu,,naŋka,,onaɡo,otoko,futo,ijo,toi,iɴ,ʃirame,ki,,ha,ne,kawa,çiçi,,tʃi,hone,abura,,keɴ / tsuno,ʃiːbo,,bintaŋke / kaʃiraɡe,binta,miːmi,mentoː,hana,kutʃi,ha,çita / suta,tsume,aːʃi,tsumbuʃi,te,hara,kubi,tʃitʃiː,,kimo,nomu,kamu / kuː,,miː,,ʃiː,nebui,ʃiɴ,,,tobu,aibu,kui,,suwai,tatsu,,,juː,,tsuki,hoːʃi / hoːʃidoɴ,mizu,ame,iːʃi,suna,tsutsu,kumo,kebui,çi,çjaː,,mitʃi,jama,aka,,,,kiː / kiːiro,,ʃiro,,,,baɴ / joːru,homekka,çijaka,,,joka,,,
Shimokoshiki,watakuʃi,omaisama,oindomo,koji,koɴ,hoi / soi,soɴ / haɴ,ai,aɴ,,,,,uːka,futotsu,futaːtsu,,naŋka,,onaɡo,otoko,futo,iwo,toi,,ʃirame,ki,,ha / fa,,kawa,çiçi / hada,mi,tʃi,hone,abura,,keɴ / tsuno,obatʃi / ʃiɡobatʃi / ʃiŋɡo,,atamaŋke / bintaŋke / kaʃiraɡe,atama / binta,mimi,me / mentsuː,hana,kutʃi,ha,ʃida,tsume,aʃi,tsumbuʃi,te,hara,kubi,tʃitʃiː,,kimo,nomu,kamu / kuː,,miru,,ʃiːru,neburu,ʃinuru,,,tobu,aibu,kuru,,suwaru,tatsu,,,juː,,tsuki,hossama / hoʃi,,,iʃi,suna,tsutsu,,kebui,çi,çeː,,,jama,aka,,,,kiː,,,,,,joːi / joru,nukka,çijaka,,,joka,,,
Tanegashima,oi / ore,omae / omaesama,domo,koi / kore,koɴ / kono,soi / sore,soɴ / sono,ai,aɴ / ano,da / dai / dare,,,,oːka,çitoːtsu,futaːtsu,,naŋka,,onaɡo,otoko,ʃito,iwo,tori,iɴ,ʃirami,ki,,ha,ne,kawa,,,tʃi,hone,,tamaɡo / taɡamo,tsuno,ʃippo / ʃiribo,hane,bintaŋke / kami / kaminoke,binta,mimi,me,hana,kutʃi,ha,suta / ʃida,tsume,aʃi,tsubuʃi,te,hara,,tʃitʃiː,ʃiɴ / ʃiɴnozoː,,nomu,kuː,,miru,kiku,ʃiru,neːru,ʃinuru,,,tobu,aruku / saruku / ʃariku / ʃaruku,kuru,,suwaru,tatsu,,,juː,çi / oçisama / tentoːsama,otsukisama / tsuki,hoʃi / hoʃisama / ohoʃisama,mizu,ame,iʃi,suna,doro / tsutsu,kumo,kemuri,çi,haː,,mitʃi,jama,akka,,,,kiː,,ʃiro,,kuro,,joru,homeku / honaku,çijaka,,,joka,,,
Yakushima,o / oi,omi,ndo / ndomi,koi,koɴ,soi,soɴ,ai,aɴ,da / dai,,,,oːka,çitoːtsu,futaːtsu,,naɡeː / naːka,,onaɡo,otoko,çito,iwo,toi,iɴ,,ki,,ha,,kawa,hara,mi,tʃi,hone,abba,,,ʃiːbo,,atamaŋke / bintaŋkeː,binta,miːmi,me,hana,kuːtʃi,ha,beː / ʃida,tsume,aːʃi,tsubuʃi,te,hara,,,,kimo,nomu,kuː,,miru,kiku,ʃiru,neburu,ʃinuru,,,tobu,ajumu / aruku / ʃariku,kuru,,suwaru,tatsu,,,juː,çi / oçisama / otenʒoːsama,otsukisama / tsuki,hoʃi / hoʃisama,miːzu,ame,iːʃi,,tsutsu,kumo,kemui,çi,çeː,,miːtʃi,,,,,,kiːro,,ʃiro,,kuro,,joru,homeku,çijaka,,,joka,,,
Kikai,waɴ,naːmi,waːkja,furi,funu / fuɴ,uri,unu,ari,anu,daː,,,muru,ɡabaːɴ,ttitu,ttaːtu,ubɨsaɴ,naɡasaɴ,inasaɴ,wunaɡu,jiŋɡa,ttʃu,,turi,iɴ,ʃirami,ki,,haː,,kawa,,ʃiʃi,tʃiː,funi,abba,tamaɡu,ttunu,du / duː / dzuji,hani,hassa / kaʃiraɡe,hamatʃi,mimi,miː,hana,kutʃi,haː,suba,tsumi,sɨ̥sa / ssa,tsubuʃi,tiː,wata,kubiː,ttʃiː,,,,,,,kikuɴ,,nibbjuɴ,ʃinjuɴ,,,tubjuɴ,,kjuːɴ,,i̥juɴ,tatsuɴ,,,,tida,tsukki,fuʃi,midzu,ami,iʃi,suna,mitʃa,kumu,çibuʃi,umatsu,hai / juni,,mitʃi,jama,aː,,oː,,kiːruː,,ʃiru,,kuru,,juru,attsaɴ,fiːsaɴ,,,jutaʃaɴ,,,
Naze,waɴ,naɴ,wakja,kuri,kuɴ,uri,uɴ,ari,aɴ,taru,,,,fusaɴ / fisaːɴ / soːɡawasaːɴ,tiːtsɨ / tɨːtsɨ,taːtsɨ,fusaɴ,naɡasaːɴ,ɡinasaːɴ,unaɡu,jiŋɡa,tʃu,,turi,iɴ,ʃiraɴ,,,,nɨ,,,maʃiʃi,,,abura,kuɡa,tsɨnu,dzɨbu / dzubu / dzumu / dʒuː,hanɨ,kamatʃinukɨ / kamatʃiŋkɨ / kaʃiraɡɨ,kamatʃi / tsiburu / tʃiburu / kaʃira,miɴ,mɨ,hana,futʃi,fa,sɨba,,haɡi,tʃibuʃi / tsɨbuʃi,,wata,kubi,tʃi / tʃittʃi,,,,kamjuɴ,,,kikjuɴ,,nibuɴ,ʃinjuɴ,,,,,kjuɴ,,,,,,,tida,tiki / tʃiki / tsuki,fuʃi,,amɘ / amɨ,iʃi,ʃina,,kumo / kumu,kɨbuʃi / kibuʃi,ʔmatʃi / umatʃi / umatsɨ,pe,,mitʃi,jama,haː / aha / aka,haːsaɴ,oː,,ki / kiːru,,ʃiruː,,kuru,,juru,atʃisaɴ,çiɡurusaɴ,,,ittʃaɴ,,,
Sumiyo,waɴ,naːɴ,wakja,kuːri,kuɴ,urɨ,uɴ,ari,aɴ,,,,ɡusuto,uɡutu,ttiːtsɨ,ttaːtsɨ,uçɨsaːɴ,naɡasaːɴ,ɡunjasaɴ,wunaku̥,jiŋɡa,ttʃuː,,,,ʃiraɴ,,,,,koː,,mi / miː,tʃiː,funi,abura,kuɡaː,,,,kamatʃinukɨ / kamatʃinusɨzɨ / kaʃiraɡe,kamatʃi,mimi,mɘː,fana,kutʃi,haː,sɨba,ttsɨmɨ,haɡi,tsɨbuʃi,tiː,,kubu̥ / kubi / nubɘ,tʃiː,,,,,,,kikjuɴ,,nɨbɨrjuɴ / nibɨrjuɴ,ʃinjuɴ,,,tubjuɴ,,kjuɴ,,jijuɴ,tatʃuɴ,,,ʔjuɴ,,,,mɨti̥,,,,,,kɨbuʃi,ʔmatsɨ,fɛː,,,,aha / ahaː,,oː,,kiːrjo,,ʃiru,,kuru,,,attsaːɴ,çiɡurusaɴ,,,jittʃaɴ,,,
Koniya,waɴ,nami,wakja / waːkja,kuːri,kuɴ,uri,uɴ,ari,aɴ,taːri̥,,,,fuːsam,ttiːt,ttaːt,utesam,naɡasaːm,,wunaku̥,jiŋɡa,ttʃuː,ʔjuː,turi,iɴ,ʃirjam / ʃirjami̥,kɨ / kɨː,,faː,nɨː,koː,,ʃiʃi / maʃiʃi / mi / miː,tʃiː,funi,abura,kuɡaː,ttino,dibo,hanɨː / haniː,,tsuburu,mimi,mɘː,fana,,,,ttimɨ,haɡi,ttibuʃi,tiː,wata,kubu̥ / nubɘ,tʃiː,,,,,,,,,,,,,,,,,,,,,,tida,tʃiki,fuʃi,mɨti̥,amɘ / amɨ,iʃi̥ / iʃiː,sɨna,mitʃa,kumo,kɨbuʃi,ʔmati,fɛː,,mitʃi,jama,haː,,oː,,kiːirju,,ʃiru / ʃirju,,kuru,,juru,,,,,jittʃam,,,
Kakeroma,waɴ,nam,wakja,kuːrɨ,kuɴ,urɨ,uɴ,arɨ,aɴ,,,,,ufuːsam,ttiːt,ttaːt,futesam / uçɨsam / uçɨsaːm,naɡasaːm,çiɡisam / insam,wunaku̥,jiŋɡa,tʃu,,tuːrɨ,iɴ / iːɴ,,,,,,kuː,,miː / ʃiʃi,tʃi / tʃiː,funi,apura,kuɡaː,,deboː,hanɨ,kamatsɨkɨ,kamatʃi,mimi,mɘ,hana,ɡutʃi / kutt,fa,ʃaː,timɨ / ttimɨ,haɡi,tibuʃi / ttibuʃi,tiː,wata,nubɘ / ɡuppu,tʃi,,,,,,,,,,,,,,,,,,,,,,tida,tiki,fuʃi,mɨti̥,amɨ,iʃi,sɨna,mitʃa,kkumo,kɨbuʃi,umati̥,fɛi,,mitʃi,jama,,,oː,,kiːirju,,ʃiru,,kuru,,juru,attam,çiːsaɴ,,,jittʃam,,,
Tokunoshima,waɴ,uri,wakja,kuri,kuɴ,uri,uɴ,ari,aɴ,taru,,,muru,fuːwaɴ,ttiːtsɨ,ttaːtsɨ,futeː / fɛːhaɴ,naɡɛhaɴ,ɡunjaːɴ / ɡinahaɴ,wunaɡu,jiŋɡa,ttʃu,ʔju,turi,iɴ,ʃiraɴ / siraɴ,kɨː,,haː / faː,nɨː,koː,,ʃiʃi,,funi,amba,kuːɡa / tamaɡu,tsɨnu,wuː,hani,karadzɨ / karazɨ,kamatsɨ / karazɨ,miɴ,mɘː,hana,kutʃi,faː,sɨba,ttsɨmɨ,,,tiː,wata,kubi / nubɨ,tʃiː,,,,,,,kikjuɴ,,,ʃinjuɴ,,,tubjuɴ,,kjuɴ,,jirjuɴ,tatʃuɴ,,,ʔjuɴ,tida / teda,tʃikkjuː / tsɨki,fuʃi / fusɨ,midzɨ / mizɨ,amɨ,iʃi,sɨna,nitʃa,kumo / kumu,kɨbuʃi,maːtsɨ,hai,,mitʃi,jama,aː,,au,,kiːiru,,ʃiru / ʃiruː,,kuru,,juru,atsɛhaɴ,çiɡjorohaɴ,,,jutaːɴ,,,
Okinoerabu,wanu,nata,watʃa,huri,hunu,uri,unu,ari,anu,taru,,,muːru,buːsa / fuːsa / ufusaɴ,ttiːtsi,ttaːtsi,fuisa / ufɛsaɴ,naɡasaɴ,ikusa,wunaɡu,jiːŋɡaː,ttʃuː,ʔju,tui / fuːtu,inu,ʃaːni,çiː,,ha,ni,hoː,,ʃiʃi / ʃiʃʃi,tʃiː,funi,abura,huɡa,tsuno,wuː / zuː,hani,haradzɨ / harazɨ,tsuburu,mimi,miː,hana,kutʃi,haː,sɨba,tsɨmiː,haʒi,tsɨnsɨ,tiː,wataː,kubi,tʃiː,,,,,,,kitʃum / kitʃuɴ,,nibujum / nibum,ʃinum / ʃinjum,,,tubjum,,tʃum / tʃuɴ,,jum,tatʃum,,,ʔjum / ʔjuɴ,tida,tʃitʃu / tʃitʃuː,fuʃi,midzɨ / mizɨ,ami,iʃiː,sɨna,mitʃa,kumu,çibuʃi,mattsɨ,çeː,,mitʃi,jama,aː,,oː,,kiːiru,,ʃuː,,kuru,,jiːru,atsaːɴ / attsaɴ,çiːsaɴ / piːsaɴ,,,jukkwaɴ,,,
Yoron,wanu,ureː,waːtʃa,huri,hunu,uri,unu,ari,anu,taː / taru,,,muːru,ufusaɴ,tiːtʃi,taːtʃi,ufisaːɴ,naɡasaɴ,insaːɴ,wunaɡu,jiŋɡa / wuiɡa,fitʃu,ʔjuː,tui,iɴ,ssaɴ,çiː,,faː,niː,hoː,,ʃiʃi,tʃiː,funi,abura,fuɡa / kaiɡo,tʃinu,,pani,furaʒinuçiː,furaʒi / furadʒi / hatasaː / tʃiburu,miɴ,miː,pana,kutʃi,ha,ʃitʃa,tʃimi,faɡi,tʃinʃi,ti / tiː,wata,kubi,tʃiː,,,,,,,kikjuɴ,,nibujuɴ,sɨnuɴ,,,tubjuɴ,,kjuɴ,,bjuːɴ,tatʃuɴ,,,ʔjuːɴ / jumuɴ / jumjuɴ,tida,tʃikkjuː,fuʃi,midʒi / miʒi,ami,iʃi,ʃina,duru,kumu,ʃimbuʃi,matʃi,hai,,mitʃi,jama,aː,,oː,,kiːiru,,suː,,kuru,,juru,atsusoː,piːsaɴ,,,jutasaɴ,,,
Iheya,waɴ,unʒu,wattaː,furi,funu,uri,unu,ari,anu,taː / taru,,,,ufusaɴ,tiːtʃi,ttaːtʃi,maɡisaɴ,naɡasaɴ,ɡunasaɴ,jinaɡu / wunna,jikiɡa / wutuku,ttʃu,ʔjuː,tui,iɴ,saːmi,kiː,,faː,niː,kaː,fada,ʃiː,tʃiː,funiː,anra,fuːɡa,tʃinu,ʒuː,fani / hani,hanaʒiɡiː,hanaʒi / tʃiburu,mimi,miː,fana,kutʃi,faː,ʃitʃa,tʃimi,fisa / saː,tʃinʃi,tiː,wata,kuwi,tʃiː,,tʃimu,numuɴ,kamuɴ / kkwajuɴ,,nuːɴ,tʃitʃuɴ,soːɴ / wakaiɴ,nuːjuɴ,ʃinuɴ,,,tubuɴ,attʃuɴ,tʃuːɴ,,jiːɴ,tatʃuɴ,,,ʔjuɴ,tiːra,tʃitʃi / tʃitʃoː,fuːʃi,miʒi,ami,iʃi,ʃina,ntʃa,,kibuʃi,fiː,feː,,mitʃi,jama,aka,,oː,,tʃiːruː,,,,kuru,,juru,atʃisaɴ,fiːsaɴ,,,jutasaɴ,,,
Izena,waɴ,unʒu,wattaː,furiː,funu,uri,unu,ari,anu,taː / taru,,,,ufusaɴ,tiːtʃi,taːtʃi,maɡisaːɴ,naɡasaɴ,,jinaɡu,jikiɡa,ttʃu,ʔjuː,tui,iɴ,saːmi,kiː,,faː,niː,kaː,fadaː,ʃiʃi,tʃi,funi,andaː,fuɡa,tʃiɴ,ʒoː,fani,hanaʒi,tʃiburu,mimiː,miː,fana,kutʃi,faː,ʃitʃaː,tʃimiː,saː,tʃinʃi,tiː,wataː,kui,tʃiː,,tʃimuː,nunuɴ,kkwajuɴ,,nuːɴ,tʃitʃuɴ,wahajuɴ,nuːjuɴ,sukunuɴ,,,tunuɴ,attʃuɴ,tʃuːɴ,,juːɴ,tatʃuɴ,,,iɴ,tiːda,tʃitʃi / tʃitʃoː,fuːʃi,miʒi,ami,iʃi,ʃina,ntʃa / tʃitʃiː,kumu,kiwui / kiwuʃi,fiː,feː,,mitʃi,jamaː,aha,,oː,,tʃiruː,,suː,,,,juru,atʃisaɴ,fiːsaɴ,,,jutasaɴ,,,
Nakijin,wanuː,naː / unʒu,wattaː,furiː,funu,uriː,unu,ariː,anu,,,,,fupoːʃeɴ,ttiːtʃi,ttaːtʃi,fupiʃeɴ / fupiʃʃeɴ / piʃeɴ / piʃʃeɴ / maɡiʃeɴ,naɡaːʃeɴ,fumaːʃeɴ / fuːʃeɴ / ɡinaːʃeɴ / ɡunaːʃeɴ,jinaːɡuː,jikiɡaː,ttʃuː,ʔjuː,tui / tuji,iːnuː,ʃiraːmi,kiː,,,niː,haː,pada,ʃiː / ʃiʃiː,tʃiː,puni,,fuɡa,tʃinuː,dʒuː / ʒuː,paniː,haraːʒi,tʃimbu,mimiː,miː,panaː,kutʃiː,paː,çitʃaː / ʃitʃaː / ʃubaː,tʃimiː,pisaː,tʃinʃi,tiː,wataː,kkwubiː,tʃiː,,tʃimuː,numiɴ,kkeɴ,,mjuɴ,çitʃuɴ,,nimbiɴ,ʃinuɴ,,,tubiɴ,attʃuɴ,ʃuɴ,,juɴ,tatʃuɴ,,,ʔiuɴ / ʔjuɴ,tida,çitʃuː,puʃiː,miʒiː,amiː,iʃiː / ʃiː,ʃinaː / iʃinaɡu,mitʃaː,kumu / kkumju,kibuːʃi,ppiː,peː,,mitʃiː,jamaː,akaː,haːʃeɴ,oː,,,,ʃiruː,,kkuruː,,juruː,hatʃiʃeɴ,piːʃeɴ / ppiːʃeɴ,,,jutaːʃeɴ,,,
Motobu,waɴ / waː,naɴ / naː / ʔundʒu,wattaː / ʔaɡaɴ,furi,funu,ʔuri,ʔunu,ʔari,ʔanu,taru / taː,,ɴ,muru,ʔuhoʃeɴ,tiːtʃi,taːtʃi,maːɡiʃeɴ,naɡaʃeɴ,fuːʃeɴ / ɡumaʃeɴ,jinaːɡu,jikiːɡa,tʃuː,ʔjuː,tui,ʔinɡwaː,ʃiraɴ,kiː,sani,faː,niː / niːɡui,haː,hadamutʃi,ʃiʃiː,tʃiː,funi,ʔanra,fuɡa,,dʒuː,fani / faniɡeː,haraːdʒi,tʃibuːru,mimiː,miː,fana,ku̥tʃi,faː,ʃi̥tʃaː,tʃimi,çi̥sa,tʃiɴʃi,tiː,wataː,kubi,tʃiː,kimuː,,numuɴ,keːɴ,hamuɴ,miːɴ,ki̥kuɴ,wakaiɴ,nimbuɴ,ʃinuɴ,kurusuɴ / takkurusuɴ,ʔuiɡuɴ,tubuɴ,ʔakkuɴ,,nimbuɴ / hataŋkuɴ,jiɴ,tattuɴ,kiːjuɴ,,ʔjuɴ,tira,tittʃoː / ʃikiː,fu̥ʃiː,midʒi,ʔamiː,ʔiʃi,ʃina,ntʃaː,kumuː,kibui,piː,heː,,mitʃi,jamaː,ʔakaː,ʔakaʃen,ʔoː,ʔoːʃeɴ,kiːruː,,ʃiruː,ʃiruʃeɴ,kuruː,kuruʃeɴ,juruː,ʔatʃiʃeɴ,çiːʃeɴ,ʔippai,miːʃeɴ,jiː,maruteːɴ,haːrakuɴ / haːkiɴ,naː
Nago,waniː / wanuː,naː / undʒu,watta,furi,funu,uri,unu,ari,anu,taː,,,muru,fisaːɴ / poːhaɴ,,,maɡihaɴ,naɡaːhaɴ,ɡumaːhaɴ / ɡunaːhaɴ,jinaɡu,jikeɡa,ttʃuː,,,inu / inukwaː,ʃiraːmi,,,,,haː / kaː,,ʃiʃi,,,andaː,fuːɡaː / kuːɡaː,tʃinuː,dʒuː,,haradʒi / karadʒi,tʃiburu / tʃuburu,mimi,miː,fana,kutʃi,faː,ʃitʃa,tʃimi,fiʃa / piʃa,tʃinʃi,tiː,wata,kubi / kubu,,,,,keːɴ,,,kikuɴ / tʃitʃuɴ,waraːruɴ,nimbuɴ,ʃinuɴ,,,,,kuɴ,,,,,,,tida,tʃitʃi,,,,,ʃinaː / zuna,miːtʃa / miːtʃaː,,kibuʃi,piː / fituji,,,,,aka,,oː,,kiːru / kiːruiru,,ʃiruː,,kuruː,,juːru,,,,,jutaːhaɴ,,,
Kin,wanu,naːmi,wattaː,kkuri,kkunu,uri,unu,ari,anu,ttaru,,,,ohoːnu / ohoːɴ,ttiːtʃu,ttaːtʃu,,,,inaɡuː,ikiɡaː,ttʃuː,,,,ʃirami,,,haː,niː,kaː,faːdaː,,ʃiː,funi,,kuːɡa,suːnuː,dzuji / ʒuji,hani,ʔkaraʒu,suburu,miːmiː,miː,hana,ʔkutʃi,faː,ʃiːtʃaː,sumi,çisa,sunʃi,tti,waːtaː,kkubi,ʃiː,,ʃiːmu,,,,,,çittʃuɴ,nimbuɴ,,,,,attʃuɴ,,,iɴ,ttatʃuɴ,,,,tiːra / ttiːda,ʃiːtʃu / tʃitʃi,fuʃi / fuːʃi,miʒu,aːmiː,iʃi,suna,nːtʃaː,kumu / kkumuː,,,,,mitʃi,jaːmaː,,,,,,,,,,,juru / juːruː,,,,,juttaːɴ,,,
Kudaka,waɴ,naː,wattaː,uri,nnu,uri,nnu,ari,anu,saː / taː,,,,upusaɴ,tiːti,taːti,maɡisaɴ,naɡasaɴ,ɡumasaɴ,junaɡu,jukiɡa,ttʃu,ijoː / iju,sui / tui,iɴ,ʃʃami,çiː,,paː,niː / niːɡui,haː,,ʃiʃi,tʃiː,puɴ,anra,fuɡa,ttiɴ,duː,hani,hariri,tibuɴ,mimi,miː,pana,kutʃi,paː,ttʃaː,ttimi,piʃa,timbusuku,ti,wata,kubi,tʃiː / tʃiːtʃiː,,tʃimu,numuɴ,keːɴ,,miːɴ,tʃikiɴ,çittʃuɴ,ninʒuɴ,çiːɴ,,,tubuɴ,akkuɴ,ʃuːɴ,,ɡiːɴ,tatʃuɴ,,,iːɴ,tira / tiːra,tiki,fuʃi / puʃi,miri,ami,iʃi,ʃina,ntʃa,kumu / kumuiɴ,kibuʃa,piː / atʃuː,peː,,mitʃi,jama,aka,,oː,,kiːruː,,ʃiruː,,kuruː,,juru,atisaɴ,piːsaɴ,,,jutasaɴ,,,
Shuri,waɴ,undʒu,wattaː,kuri,kunu,uri,unu,ari,anu,taː,,,muru / muttu / nːna,ufusaɴ,tiːtʃi,taːtʃi,maɡisaɴ,naɡasaɴ,kuːsaɴ,winaɡu,wikiɡa,ttʃu,iju,tuji,iɴ / iŋɡwaː,ʃiraɴ,kiː,,,,,,ʃiʃi,,,anda,kuːɡa / kuɡwaː,,dzuː / dʒuː,,karadzi / karadʒi,tsiburu / tsɨburu,,,,,,ʃiba / ʃita,,çiʃa,tsibuʃi / tʃinʃi,tiː,wata,kubi,,tʃimu / kukuru,tʃimu,,kamuɴ,,,tʃitʃuɴ,,nindʒuɴ,ʃinuɴ,,,,attʃuɴ,tʃuːɴ,,wiːjuɴ,,,,,tida / tiːda / tira / tiːra,tʃitʃi / tsitʃi,fuʃi,,ami / aːmi,,sina / ʃina,,kumu,kibuʃi / tʃimuji,fiː,,,mitʃi,jama,akaː,,oː,,tʃiːruː,,ʃiruː,,kuruː,,juːru,,çiːsaɴ,,,jutasaɴ,,,
Itoman,waɴ,naː / undʒu / unʒu,wattaː,kuri,kunu,uri,uɴ,ari,aɴ,taː,,,muru,uːsaɴ / ikattʃaɴ,tiːtʃi,taːtʃi,maɡisaɴ,naɡasaɴ,ɡunasaɴ,junaɡu,jukiɡa,,iju,tui,iɴ,ʃiraɴ,kiː,,haː,ni,kaː,,ʃiʃi,ʃiː,funi,anra,kuɡa,ʃinu,dʒuː / uː / ʒuː,haniː,kaːdʒiri / kaːʒiri / karadʒi / karaʒi,ʃiburu,mimi,miː,hana,kuʃi / kutʃi,haː,ʃiba,ʃimi,çisa,ʃintʃiː / ʃintʃiɴ,tiː,wata,kubi,ʃiːɡwaː,,,numuɴ,kamuɴ,,,kikuɴ,,nindʒuɴ,çinuɴ,,,tubuɴ,akkuɴ,kuːɴ,,iːɴ,tatuɴ,,,iːɴ,tiːra,tʃiki,,midʒi / miʒi,ami,iʃi / itʃi,ʃina,ntʃa,,kibuʃi,çi / çiː,çeː,,miʃi,jama,akaː,,oː,,kiːruː,,suruː,,kuruː,,juru / juːru,atʃisaɴ,çiːsaɴ,,,jutasaɴ,,,
Zamami,waɴ,unʒu,wattaː,kuri,kunu,uri,unu,ari,anu,taru,,,,ufusaɴ,tiːtʃi,taːtʃi,maɡisaɴ,naɡasaɴ,ɡumasaɴ,winaɡu,wikiɡa,ttʃu,iju,tui,iɴ,ʃiraɴ,kiː,,haː,,kaː,hada,ʃiʃi,tʃiː,funi,anra,kuɡa,tʃiːnu,ʒuː,hani,karaʒi,karaʒi / tʃiburu,mimi,miː,hana,kutʃi,ha,ʃiba,tʃimi,çisa,tʃinʃi,tiː,wata,kubi,tʃiː,,tʃimu,numuɴ,keːɴ / kwaiɴ,,miːjuɴ / miːɴ / nʒuɴ,tʃitʃuɴ,ʃittʃoːɴ,ninʒuɴ,ʃinuɴ,,,,attʃuɴ,tʃoːɴ,,iːɴ,tatʃuɴ,,,iːɴ,tira,tʃitʃi,fuʃi,miʒi,,iʃi,ʃina,ntʃa / tʃitʃi,kumu,kibuʃi,çiː,feː,,mitʃi,jama,akaː,,oː,,tʃiːruː,,suru / ʃiruː,,kuruː,,juru,atʃisaɴ,çiːsaɴ,,,jutasaɴ,,,
Kume,wanu,naːru / unʒu,wattaː,kuri,kunu,uri,unu,ari,anu,taː / taru,,,,ufusaɴ,tiːtʃi,taːtʃi,maɡisaɴ,naɡasaɴ,ɡunasaɴ,unaɡu,ukiɡa,tsu,iju,tui,inu,ʃirami,kiː,,haː,niː,kaː,hara,ʃiʃi,tʃiː,funiː,anra,kuːɡa,tsunu,zuː,,kaːraʒi,tʃimburu,mimi,miː,hana,kutʃi,ha,suba / tʃa,tʃimi,çisa,,tiː,wata,kubi,tʃiː / tʃiːɡwaː / tʃiːtʃiː,,tʃimu,numiɴ,kweːɴ,,miɴ,tʃitʃuɴ,ʃijuɴ,ninʒuɴ,ʃiniɴ,,,,attʃuɴ,tʃuɴ,,ijuɴ,tatsuɴ,,,ijuɴ,tiːda / tiːra,tʃitʃi,fuʃi,miʒi,ami,iʃi,ʃina,ntʃa,kumu,kibuʃi,çiː,çeː,,mitʃi,jama,akaː,,oː,,tʃiːru,,ʃiruː,,kuruː,,juru,atʃisaɴ,çiːsaɴ,,,,,,
